,region,province,city,barangay,risk_score_category,predicted_risk_score_category,predicted_risk_category
151,Region XI,Davao del Sur,Davao City,Carmen,2 - Medium,2 - Medium,Medium
152,Region XI,Davao del Sur,Davao City,Buhangin (Pob.),1 - Low,1 - Low,Low
153,Region XI,Davao del Sur,Davao City,Barangay 38-D (Pob.),1 - Low,1 - Low,Low
154,Region XI,Davao del Sur,Davao City,Sasa,1 - Low,1 - Low,Low
155,Region XI,Davao del Sur,Davao City,Alambre,3 - High,3 - High,High
156,Region XI,Davao del Sur,Davao City,Tibuloy,3 - High,3 - High,High
157,Region XI,Davao del Sur,Davao City,Pampanga,1 - Low,1 - Low,Low
158,Region XI,Davao del Sur,Davao City,Fatima (Benowang),2 - Medium,2 - Medium,Medium
159,Region XI,Davao del Sur,Davao City,Malagos,2 - Medium,2 - Medium,Medium
160,Region XI,Davao del Sur,Davao City,Mudiang,1 - Low,1 - Low,Low
161,Region XI,Davao del Sur,Davao City,Lizada,3 - High,3 - High,High
162,Region XI,Davao del Sur,Davao City,Dominga,2 - Medium,2 - Medium,Medium
163,Region XI,Davao del Sur,Davao City,Barangay 21-C (Pob.),1 - Low,1 - Low,Low
164,Region XI,Davao del Sur,Davao City,Agdao,1 - Low,1 - Low,Low
165,Region XI,Davao del Sur,Davao City,Barangay 17-B (Pob.),1 - Low,1 - Low,Low
166,Region XI,Davao del Sur,Davao City,Barangay 18-B (Pob.),1 - Low,1 - Low,Low
167,Region XI,Davao del Sur,Davao City,Bangkas Heights,2 - Medium,2 - Medium,Medium
168,Region XI,Davao del Sur,Davao City,Inayangan,2 - Medium,2 - Medium,Medium
169,Region XI,Davao del Sur,Davao City,Salaysay,2 - Medium,2 - Medium,Medium
170,Region XI,Davao del Sur,Davao City,Tugbok (Pob.),2 - Medium,2 - Medium,Medium
171,Region XI,Davao del Sur,Davao City,Matina Aplaya,2 - Medium,2 - Medium,Medium
172,Region XI,Davao del Sur,Davao City,"Kap. Tomas Monteverde, Sr.",1 - Low,1 - Low,Low
173,Region XI,Davao del Sur,Davao City,Talomo River,1 - Low,1 - Low,Low
174,Region XI,Davao del Sur,Davao City,Bato,3 - High,3 - High,High
175,Region XI,Davao del Sur,Davao City,Tagurano,3 - High,3 - High,High
176,Region XI,Davao del Sur,Davao City,Barangay 12-B (Pob.),1 - Low,1 - Low,Low
177,Region XI,Davao del Sur,Davao City,Panacan,1 - Low,1 - Low,Low
178,Region XI,Davao del Sur,Davao City,Barangay 20-B (Pob.),1 - Low,1 - Low,Low
179,Region XI,Davao del Sur,Davao City,Matina Crossing,2 - Medium,2 - Medium,Medium
180,Region XI,Davao del Sur,Davao City,Bago Oshiro,1 - Low,1 - Low,Low
181,Region XI,Davao del Sur,Davao City,Alfonso Angliongto Sr.,1 - Low,1 - Low,Low
182,Region XI,Davao del Sur,Davao City,Barangay 37-D (Pob.),1 - Low,1 - Low,Low
